fecha,moneda,pais,compra_bs,venta_bs,fuente,origen_fecha
2025-01-08,NIO,Nicaragua,1.45697885,1.46063043,2_1_2a25_smc.xls,fecha_valor
2025-01-08,PEN,Perú,14.0750642,14.11034006,2_1_2a25_smc.xls,fecha_valor
2025-01-08,RUB,Rusia,0.49468451,0.49592433,2_1_2a25_smc.xls,fecha_valor
2025-01-08,TRY,Turquia,1.50241873,1.50618419,2_1_2a25_smc.xls,fecha_valor
2025-01-08,TTD,Trinidad y Tobago,7.91757885,7.93742241,2_1_2a25_smc.xls,fecha_valor
2025-01-08,USD,E.U.A.,52.937724,53.0704,2_1_2a25_smc.xls,fecha_valor
2025-01-08,UYU,Uruguay,1.20395096,1.20696838,2_1_2a25_smc.xls,fecha_valor
2025-01-09,ANG,Curazao,30.27426136,30.3501367,2_1_2a25_smc.xls,fecha_valor
2025-01-09,ARS,Argentina,0.05132737,0.05145601,2_1_2a25_smc.xls,fecha_valor
2025-01-09,BOB,Bolivia,7.90515115,7.92496356,2_1_2a25_smc.xls,fecha_valor
2025-01-09,BRL,Brasil,8.68172055,8.70347925,2_1_2a25_smc.xls,fecha_valor
2025-01-09,CAD,Canada,36.9073199,36.99981945,2_1_2a25_smc.xls,fecha_valor
2025-01-09,CLP,Chile,0.05289085,0.05302341,2_1_2a25_smc.xls,fecha_valor
2025-01-09,CNY,China,7.24986608,7.26803617,2_1_2a25_smc.xls,fecha_valor
2025-01-09,COP,Colombia,0.01224191,0.01227259,2_1_2a25_smc.xls,fecha_valor
2025-01-09,CUC,Cuba,53.14949325,53.2827,2_1_2a25_smc.xls,fecha_valor
2025-01-09,DOP,Republica Dominicana,0.86930803,0.87148675,2_1_2a25_smc.xls,fecha_valor
2025-01-09,EUR,Zona Euro,54.74663552,54.88384513,2_1_2a25_smc.xls,fecha_valor
2025-01-09,INR,India,0.6192198,0.62077173,2_1_2a25_smc.xls,fecha_valor
2025-01-09,JPY,Japon,0.33562024,0.33646139,2_1_2a25_smc.xls,fecha_valor
2025-01-09,MXP,Mexico,2.60702865,2.61356256,2_1_2a25_smc.xls,fecha_valor
2025-01-09,NIO,Nicaragua,1.4618296,1.46549334,2_1_2a25_smc.xls,fecha_valor
2025-01-09,PEN,Perú,14.35347788,14.38945151,2_1_2a25_smc.xls,fecha_valor
2025-01-09,RUB,Rusia,0.50739373,0.50866539,2_1_2a25_smc.xls,fecha_valor
2025-01-09,TRY,Turquia,1.5024804,1.50624602,2_1_2a25_smc.xls,fecha_valor
2025-01-09,TTD,Trinidad y Tobago,7.99986351,8.0199133,2_1_2a25_smc.xls,fecha_valor
2025-01-09,USD,E.U.A.,53.14949325,53.2827,2_1_2a25_smc.xls,fecha_valor
2025-01-09,UYU,Uruguay,1.22332917,1.22639516,2_1_2a25_smc.xls,fecha_valor
2025-01-10,ANG,Curazao,30.63797952,30.71476644,2_1_2a25_smc.xls,fecha_valor
2025-01-10,ARS,Argentina,0.05182592,0.05195581,2_1_2a25_smc.xls,fecha_valor
2025-01-10,BOB,Bolivia,7.84198094,7.86163503,2_1_2a25_smc.xls,fecha_valor
2025-01-10,BRL,Brasil,8.81946041,8.84156432,2_1_2a25_smc.xls,fecha_valor
2025-01-10,CAD,Canada,37.30024129,37.39372561,2_1_2a25_smc.xls,fecha_valor
2025-01-10,CLP,Chile,0.05345829,0.05359227,2_1_2a25_smc.xls,fecha_valor
2025-01-10,CNY,China,7.32635527,7.34471706,2_1_2a25_smc.xls,fecha_valor
2025-01-10,COP,Colombia,0.01242886,0.01246001,2_1_2a25_smc.xls,fecha_valor
2025-01-10,CUC,Cuba,53.7175695,53.8522,2_1_2a25_smc.xls,fecha_valor
2025-01-10,DOP,Republica Dominicana,0.87989466,0.88209991,2_1_2a25_smc.xls,fecha_valor
2025-01-10,EUR,Zona Euro,55.38335133,55.52215672,2_1_2a25_smc.xls,fecha_valor
2025-01-10,INR,India,0.62611538,0.62768459,2_1_2a25_smc.xls,fecha_valor
2025-01-10,JPY,Japon,0.34032494,0.34117788,2_1_2a25_smc.xls,fecha_valor
2025-01-10,MXP,Mexico,2.62556915,2.63214952,2_1_2a25_smc.xls,fecha_valor
2025-01-10,NIO,Nicaragua,1.47929307,1.48300057,2_1_2a25_smc.xls,fecha_valor
2025-01-10,PEN,Perú,14.2392497,14.27493704,2_1_2a25_smc.xls,fecha_valor
2025-01-10,RUB,Rusia,0.5276775,0.529,2_1_2a25_smc.xls,fecha_valor
2025-01-10,TRY,Turquia,1.52059317,1.52440419,2_1_2a25_smc.xls,fecha_valor
2025-01-10,TTD,Trinidad y Tobago,8.04396069,8.06412099,2_1_2a25_smc.xls,fecha_valor
2025-01-10,USD,E.U.A.,53.7175695,53.8522,2_1_2a25_smc.xls,fecha_valor
2025-01-10,UYU,Uruguay,1.23081224,1.23389698,2_1_2a25_smc.xls,fecha_valor
2025-01-14,ANG,Curazao,30.10890882,30.18436974,2_1_2a25_smc.xls,fecha_valor
2025-01-14,ARS,Argentina,0.05184006,0.05196998,2_1_2a25_smc.xls,fecha_valor
2025-01-14,BOB,Bolivia,8.00327643,8.02333477,2_1_2a25_smc.xls,fecha_valor
2025-01-14,BRL,Brasil,8.79685772,8.81890498,2_1_2a25_smc.xls,fecha_valor
2025-01-14,CAD,Canada,37.29918956,37.39267124,2_1_2a25_smc.xls,fecha_valor
2025-01-14,CLP,Chile,0.05318858,0.05332188,2_1_2a25_smc.xls,fecha_valor
2025-01-14,CNY,China,7.33091475,7.34928797,2_1_2a25_smc.xls,fecha_valor
2025-01-14,COP,Colombia,0.01237665,0.01240767,2_1_2a25_smc.xls,fecha_valor
2025-01-14,CUC,Cuba,53.74440225,53.8791,2_1_2a25_smc.xls,fecha_valor
2025-01-14,DOP,Republica Dominicana,0.88019001,0.882396,2_1_2a25_smc.xls,fecha_valor
2025-01-14,EUR,Zona Euro,55.0611401,55.19913795,2_1_2a25_smc.xls,fecha_valor
2025-01-14,INR,India,0.62515298,0.62671978,2_1_2a25_smc.xls,fecha_valor
2025-01-14,JPY,Japon,0.34064169,0.34149543,2_1_2a25_smc.xls,fecha_valor
2025-01-14,MXP,Mexico,2.60056537,2.60708308,2_1_2a25_smc.xls,fecha_valor
2025-01-14,NIO,Nicaragua,1.4801176,1.48382717,2_1_2a25_smc.xls,fecha_valor
2025-01-14,PEN,Perú,14.27322522,14.30899771,2_1_2a25_smc.xls,fecha_valor
2025-01-14,RUB,Rusia,0.52561762,0.52693496,2_1_2a25_smc.xls,fecha_valor
2025-01-14,TRY,Turquia,1.51788143,1.52168565,2_1_2a25_smc.xls,fecha_valor
2025-01-14,TTD,Trinidad y Tobago,7.99268347,8.01271526,2_1_2a25_smc.xls,fecha_valor
2025-01-14,USD,E.U.A.,53.74440225,53.8791,2_1_2a25_smc.xls,fecha_valor
2025-01-14,UYU,Uruguay,1.24764437,1.25077129,2_1_2a25_smc.xls,fecha_valor
2025-01-15,ANG,Curazao,30.66322386,30.74007405,2_1_2a25_smc.xls,fecha_valor
2025-01-15,ARS,Argentina,0.05175893,0.05188865,2_1_2a25_smc.xls,fecha_valor
2025-01-15,BOB,Bolivia,7.85829043,7.8779854,2_1_2a25_smc.xls,fecha_valor
2025-01-15,BRL,Brasil,8.86750288,8.8897272,2_1_2a25_smc.xls,fecha_valor
2025-01-15,CAD,Canada,37.41496861,37.50874046,2_1_2a25_smc.xls,fecha_valor
2025-01-15,CLP,Chile,0.05368273,0.05381727,2_1_2a25_smc.xls,fecha_valor
2025-01-15,CNY,China,7.34309463,7.36149837,2_1_2a25_smc.xls,fecha_valor
2025-01-15,COP,Colombia,0.01252951,0.01256091,2_1_2a25_smc.xls,fecha_valor
2025-01-15,CUC,Cuba,53.8292895,53.9642,2_1_2a25_smc.xls,fecha_valor
